公告日期,標案名稱,土地標示,面積_㎡,房屋標示,面積_㎡,建物門牌,標售底標金額,得標價,後續處理
1060718,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及6個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,2.06,中山區吉林段四小段5423建號,33.2,中山區新生北路二段53之2號(車位編號：169),2774000,─,再標售
1060906,106年度委託辦理標售臺北市市有不動產勞務採購案,士林區福林段二小段594地號,82.88,士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,214.91,士林區福林路70號2樓之2,36684000,─,再標售
1060906,106年度委託辦理標售臺北市市有不動產勞務採購案,士林區福林段二小段594地號,82.88,士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,214.91,士林區福林路70號3樓之2,37058800,─,再標售
1060906,106年度委託辦理標售臺北市市有不動產勞務採購案,中山區吉林段三小段1063、1064地號,28.89,中山區吉林段三小段5422建號（含共同使用部分及停車位編號130）,236.54,中山區民生東路二段1號10樓之2,62507800,─,再標售
1060906,106年度委託辦理標售臺北市市有不動產勞務採購案,中山區吉林段三小段1063、1064地號,20.86,中山區吉林段三小段5421建號（含共同使用部分及停車位編號80）,184.27,中山區民生東路二段1號10樓之3,47182300,─,再標售
1060906,106年度委託辦理標售臺北市市有不動產勞務採購案,松山區西松段二小段650-1地號,23.82,松山區西松段二小段2344建號（含共同使用部分）,143.14,松山區南京東路五段66巷22弄32號4樓,27800000,─,再標售
1060906,106年度委託辦理標售臺北市市有不動產勞務採購案,萬華區萬大段二小段602地號,29.61,萬華區萬大段二小段1743建號（含共同使用部分及停車位編號32、33）,302.49,萬華區萬大路344巷36號13樓之1,48651600,─,再標售
1060912,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及4個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,28.38,中山區吉林段四小段5514建號(含共同使用部分及停車位編號8、29、30),316.84,中山區新生北路二段47號3樓,53173100,─,標租
1060912,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及4個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,25.57,中山區吉林段四小段5481建號(含共同使用部分及停車位編號5、6、7),302.34,中山區新生北路二段49號3樓,52279600,─,標租
1060912,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及4個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,27.36,中山區吉林段四小段5464建號(含共同使用部分及停車位編號3、4),294.89,中山區新生北路二段53之3號3樓,52518400,─,標租
